memset = .init:0x80003100; // type:function size:0x30 scope:global
LBL_STRUCT_BYTE4_1399 = .data:0x804AAC40; // type:object size:0x20
LBL_STRUCT_BYTE4_1400 = .data:0x804AAC60; // type:object size:0x20
LBL_STRUCT_BYTE4_1401 = .data:0x804AAC80; // type:object size:0x20
LBL_STRUCT_BYTE4_1402 = .data:0x804AACA0; // type:object size:0x20
LBL_STRUCT_BYTE4_1403 = .data:0x804AACC0; // type:object size:0x20
LBL_STRUCT_BYTE4_1404 = .data:0x804AACE0; // type:object size:0x20
LBL_STRUCT_BYTE4_1405 = .data:0x804AAD00; // type:object size:0x20
LBL_STRUCT_BYTE4_1406 = .data:0x804AAD20; // type:object size:0x20
LBL_STRUCT_BYTE4_1407 = .data:0x804AAD40; // type:object size:0x20
LBL_STRUCT_BYTE4_1408 = .data:0x804AAD60; // type:object size:0x20
LBL_STRUCT_BYTE4_1409 = .data:0x804AAD80; // type:object size:0x28
LBL_STRUCT_BYTE4_1410 = .data:0x804AADA8; // type:object size:0x28
LBL_STRUCT_BYTE4_1411 = .data:0x804AADD0; // type:object size:0x20
LBL_STRUCT_BYTE4_1412 = .data:0x804AADF0; // type:object size:0x20
LBL_STRUCT_BYTE4_1413 = .data:0x804AAE10; // type:object size:0x20
LBL_STRUCT_BYTE4_1414 = .data:0x804AAE30; // type:object size:0x28
LBL_STRUCT_BYTE4_1415 = .data:0x804AAE58; // type:object size:0x28
LBL_STRUCT_BYTE4_1416 = .data:0x804AAE80; // type:object size:0x20
LBL_STRUCT_BYTE4_1417 = .data:0x804AAEA0; // type:object size:0x28
LBL_STRUCT_BYTE4_1418 = .data:0x804AAEC8; // type:object size:0x28
LBL_STRUCT_BYTE4_1419 = .data:0x804AAEF0; // type:object size:0x28
LBL_STRUCT_BYTE4_1420 = .data:0x804AAF18; // type:object size:0x20
LBL_STRUCT_BYTE4_1421 = .data:0x804AAF38; // type:object size:0x20
LBL_STRUCT_BYTE4_1422 = .data:0x804AAF58; // type:object size:0x20
LBL_STRUCT_BYTE4_1423 = .data:0x804AAF78; // type:object size:0x18
LBL_STRUCT_BYTE4_1424 = .data:0x804AAF90; // type:object size:0x20
LBL_STRUCT_BYTE4_1425 = .data:0x804AAFB0; // type:object size:0xC
LBL_STRUCT_BYTE4_1426 = .data:0x804AAFBC; // type:object size:0x24
LBL_STRUCT_BYTE4_1427 = .data:0x804AAFE0; // type:object size:0x28
LBL_STRUCT_238 = .data:0x804AB008; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1428 = .data:0x804AB028; // type:object size:0x20
LBL_STRUCT_BYTE_10 = .data:0x804AB048; // type:object size:0x18 data:byte
LBL_STRUCT_BYTE4_1429 = .data:0x804AB060; // type:object size:0x20
LBL_STRUCT_BYTE4_1430 = .data:0x804AB080; // type:object size:0x20
LBL_STRUCT_BYTE4_1431 = .data:0x804AB0A0; // type:object size:0x20
LBL_STRUCT_BYTE4_1432 = .data:0x804AB0C0; // type:object size:0x50
LBL_STRUCT_BYTE4_1433 = .data:0x804AB110; // type:object size:0x28
LBL_STRUCT_239 = .data:0x804AB138; // type:object size:0x20 data:string
LBL_STRUCT_240 = .data:0x804AB158; // type:object size:0x20 data:string
LBL_STRUCT_241 = .data:0x804AB178; // type:object size:0x20 data:string
LBL_STRUCT_242 = .data:0x804AB198; // type:object size:0x20 data:string
LBL_STRUCT_243 = .data:0x804AB1B8; // type:object size:0x1C data:string
LBL_STRUCT_BYTE4_1434 = .data:0x804AB1D4; // type:object size:0x2C
LBL_STRUCT_BYTE4_1435 = .data:0x804AB200; // type:object size:0x20
LBL_STRUCT_BYTE4_1436 = .data:0x804AB220; // type:object size:0x20
LBL_STRUCT_244 = .data:0x804AB240; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1437 = .data:0x804AB260; // type:object size:0x20
LBL_STRUCT_BYTE4_1438 = .data:0x804AB280; // type:object size:0x20
LBL_STRUCT_BYTE4_1439 = .data:0x804AB2A0; // type:object size:0x20
LBL_STRUCT_BYTE4_1440 = .data:0x804AB2C0; // type:object size:0x28
LBL_STRUCT_BYTE4_1441 = .data:0x804AB2E8; // type:object size:0x28
LBL_STRUCT_BYTE4_1442 = .data:0x804AB310; // type:object size:0x28
LBL_STRUCT_BYTE4_1443 = .data:0x804AB338; // type:object size:0x20
LBL_STRUCT_BYTE4_1444 = .data:0x804AB358; // type:object size:0x10
LBL_STRUCT_BYTE4_1445 = .data:0x804AB368; // type:object size:0x28
LBL_STRUCT_BYTE4_1446 = .data:0x804AB390; // type:object size:0x10
LBL_STRUCT_BYTE4_1447 = .data:0x804AB3A0; // type:object size:0x28
LBL_STRUCT_BYTE4_1448 = .data:0x804AB3C8; // type:object size:0x28
LBL_STRUCT_BYTE4_1449 = .data:0x804AB3F0; // type:object size:0x28
LBL_STRUCT_245 = .data:0x804AB418; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1450 = .data:0x804AB438; // type:object size:0x28
LBL_STRUCT_BYTE4_1451 = .data:0x804AB460; // type:object size:0x20
LBL_STRUCT_BYTE4_1452 = .data:0x804AB480; // type:object size:0x28
LBL_STRUCT_BYTE4_1453 = .data:0x804AB4A8; // type:object size:0x28
LBL_STRUCT_BYTE4_1454 = .data:0x804AB4D0; // type:object size:0x28
LBL_STRUCT_246 = .data:0x804AB4F8; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1455 = .data:0x804AB518; // type:object size:0x28
LBL_STRUCT_247 = .data:0x804AB540; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1456 = .data:0x804AB560; // type:object size:0x28
LBL_STRUCT_248 = .data:0x804AB588; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1457 = .data:0x804AB5A8; // type:object size:0x20
LBL_STRUCT_249 = .data:0x804AB5C8; // type:object size:0x20 data:string
LBL_STRUCT_250 = .data:0x804AB5E8; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1458 = .data:0x804AB608; // type:object size:0x18
LBL_STRUCT_251 = .data:0x804AB620; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1459 = .data:0x804AB640; // type:object size:0x28
LBL_STRUCT_BYTE4_1460 = .data:0x804AB668; // type:object size:0xC
LBL_STRUCT_BYTE4_1461 = .data:0x804AB674; // type:object size:0x20
LBL_STRUCT_BYTE4_1462 = .data:0x804AB694; // type:object size:0x24
LBL_STRUCT_BYTE4_1463 = .data:0x804AB6B8; // type:object size:0x28
LBL_STRUCT_BYTE4_1464 = .data:0x804AB6E0; // type:object size:0x28
LBL_STRUCT_BYTE4_1465 = .data:0x804AB708; // type:object size:0x20
LBL_STRUCT_BYTE_11 = .data:0x804AB728; // type:object size:0x18 data:byte
LBL_STRUCT_252 = .data:0x804AB740; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1466 = .data:0x804AB760; // type:object size:0x28
LBL_STRUCT_253 = .data:0x804AB788; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1467 = .data:0x804AB7A8; // type:object size:0x50
LBL_STRUCT_BYTE4_1468 = .data:0x804AB7F8; // type:object size:0x28
LBL_STRUCT_BYTE4_1469 = .data:0x804AB820; // type:object size:0x28
LBL_STRUCT_BYTE4_1470 = .data:0x804AB848; // type:object size:0x28
LBL_STRUCT_BYTE4_1471 = .data:0x804AB870; // type:object size:0x28
LBL_STRUCT_BYTE4_1472 = .data:0x804AB898; // type:object size:0x28
LBL_STRUCT_BYTE4_1473 = .data:0x804AB8C0; // type:object size:0x20
LBL_STRUCT_BYTE4_1474 = .data:0x804AB8E0; // type:object size:0x28
LBL_STRUCT_BYTE4_1475 = .data:0x804AB908; // type:object size:0x24
LBL_STRUCT_BYTE4_1476 = .data:0x804AB92C; // type:object size:0x24
LBL_STRUCT_254 = .data:0x804AB950; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1477 = .data:0x804AB970; // type:object size:0x28
LBL_STRUCT_BYTE4_1478 = .data:0x804AB998; // type:object size:0x20
LBL_STRUCT_BYTE4_1479 = .data:0x804AB9B8; // type:object size:0x20
LBL_STRUCT_BYTE4_1480 = .data:0x804AB9D8; // type:object size:0x20
LBL_STRUCT_BYTE4_1481 = .data:0x804AB9F8; // type:object size:0x20
LBL_STRUCT_BYTE4_1482 = .data:0x804ABA18; // type:object size:0x10
LBL_STRUCT_255 = .data:0x804ABA28; // type:object size:0x20 data:string
LBL_STRUCT_256 = .data:0x804ABA48; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1483 = .data:0x804ABA68; // type:object size:0x20
LBL_STRUCT_BYTE4_1484 = .data:0x804ABA88; // type:object size:0x28
LBL_STRUCT_BYTE4_1485 = .data:0x804ABAB0; // type:object size:0x20
LBL_STRUCT_BYTE4_1486 = .data:0x804ABAD0; // type:object size:0x20
LBL_STRUCT_BYTE4_1487 = .data:0x804ABAF0; // type:object size:0xF4
LBL_STRUCT_BYTE4_1488 = .data:0x804ABBE4; // type:object size:0x24
LBL_STRUCT_257 = .data:0x804ABC08; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1489 = .data:0x804ABC28; // type:object size:0x20
LBL_STRUCT_BYTE4_1490 = .data:0x804ABC48; // type:object size:0x28
LBL_STRUCT_BYTE4_1491 = .data:0x804ABC70; // type:object size:0x6F0
jumptable_804AC360 = .data:0x804AC360; // type:object size:0x64 scope:local
jumptable_804AC3C4 = .data:0x804AC3C4; // type:object size:0x64 scope:local
jumptable_804AC428 = .data:0x804AC428; // type:object size:0x28 scope:local
jumptable_804AC450 = .data:0x804AC450; // type:object size:0x64 scope:local
jumptable_804AC4B4 = .data:0x804AC4B4; // type:object size:0x20 scope:local
jumptable_804AC4D4 = .data:0x804AC4D4; // type:object size:0x64 scope:local
jumptable_804AC538 = .data:0x804AC538; // type:object size:0x64 scope:local
LBL_STRUCT_BYTE4_1492 = .data:0x804AC5A0; // type:object size:0x28
LBL_STRUCT_BYTE4_1493 = .data:0x804AC5C8; // type:object size:0x20
LBL_STRUCT_BYTE4_1494 = .data:0x804AC5E8; // type:object size:0x28
LBL_STRUCT_BYTE4_1495 = .data:0x804AC610; // type:object size:0x28
LBL_STRUCT_258 = .data:0x804AC638; // type:object size:0x20 data:string
LBL_STRUCT_259 = .data:0x804AC658; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1496 = .data:0x804AC678; // type:object size:0x28
LBL_STRUCT_BYTE4_1497 = .data:0x804AC6A0; // type:object size:0x28
LBL_STRUCT_BYTE4_1498 = .data:0x804AC6C8; // type:object size:0x28
LBL_STRUCT_BYTE4_1499 = .data:0x804AC6F0; // type:object size:0x20
LBL_STRUCT_BYTE4_1500 = .data:0x804AC710; // type:object size:0x20
LBL_STRUCT_BYTE4_1501 = .data:0x804AC730; // type:object size:0x20
LBL_STRUCT_BYTE4_1502 = .data:0x804AC750; // type:object size:0x20
LBL_STRUCT_BYTE4_1503 = .data:0x804AC770; // type:object size:0x20
LBL_STRUCT_BYTE4_1504 = .data:0x804AC790; // type:object size:0x20
LBL_STRUCT_BYTE4_1505 = .data:0x804AC7B0; // type:object size:0x20
LBL_STRUCT_BYTE4_1506 = .data:0x804AC7D0; // type:object size:0x20
LBL_STRUCT_BYTE4_1507 = .data:0x804AC7F0; // type:object size:0x20
LBL_STRUCT_BYTE4_1508 = .data:0x804AC810; // type:object size:0x20
LBL_STRUCT_260 = .data:0x804AC830; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1509 = .data:0x804AC850; // type:object size:0x28
LBL_STRUCT_BYTE4_1510 = .data:0x804AC878; // type:object size:0x20
LBL_STRUCT_BYTE4_1511 = .data:0x804AC898; // type:object size:0x20
LBL_STRUCT_BYTE4_1512 = .data:0x804AC8B8; // type:object size:0x20
LBL_STRUCT_261 = .data:0x804AC8D8; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1513 = .data:0x804AC8F8; // type:object size:0x20
LBL_STRUCT_262 = .data:0x804AC918; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1514 = .data:0x804AC938; // type:object size:0x20
LBL_STRUCT_BYTE4_1515 = .data:0x804AC958; // type:object size:0x20
LBL_STRUCT_BYTE4_1516 = .data:0x804AC978; // type:object size:0x20
LBL_STRUCT_BYTE4_1517 = .data:0x804AC998; // type:object size:0x20
LBL_STRUCT_BYTE4_1518 = .data:0x804AC9B8; // type:object size:0x20
LBL_STRUCT_BYTE4_1519 = .data:0x804AC9D8; // type:object size:0x28
LBL_STRUCT_BYTE4_1520 = .data:0x804ACA00; // type:object size:0x28
LBL_STRUCT_BYTE4_1521 = .data:0x804ACA28; // type:object size:0x20
LBL_STRUCT_BYTE4_1522 = .data:0x804ACA48; // type:object size:0x20
LBL_STRUCT_BYTE4_1523 = .data:0x804ACA68; // type:object size:0x20
LBL_STRUCT_263 = .data:0x804ACA88; // type:object size:0x20 data:string
LBL_STRUCT_264 = .data:0x804ACAA8; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1524 = .data:0x804ACAC8; // type:object size:0x20
LBL_STRUCT_BYTE4_1525 = .data:0x804ACAE8; // type:object size:0x20
LBL_STRUCT_BYTE4_1526 = .data:0x804ACB08; // type:object size:0x20
LBL_STRUCT_BYTE4_1527 = .data:0x804ACB28; // type:object size:0x20
LBL_STRUCT_BYTE4_1528 = .data:0x804ACB48; // type:object size:0x20
LBL_STRUCT_BYTE4_1529 = .data:0x804ACB68; // type:object size:0x20
LBL_STRUCT_265 = .data:0x804ACB88; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1530 = .data:0x804ACBA8; // type:object size:0x28
LBL_STRUCT_BYTE4_1531 = .data:0x804ACBD0; // type:object size:0x20
LBL_STRUCT_BYTE4_1532 = .data:0x804ACBF0; // type:object size:0x20
LBL_STRUCT_BYTE4_1533 = .data:0x804ACC10; // type:object size:0x28
LBL_STRUCT_BYTE4_1534 = .data:0x804ACC38; // type:object size:0x20
LBL_STRUCT_BYTE4_1535 = .data:0x804ACC58; // type:object size:0x28
LBL_STRUCT_266 = .data:0x804ACC80; // type:object size:0x20 data:string
LBL_STRUCT_267 = .data:0x804ACCA0; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1536 = .data:0x804ACCC0; // type:object size:0x20
LBL_STRUCT_268 = .data:0x804ACCE0; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1537 = .data:0x804ACD00; // type:object size:0x28
LBL_STRUCT_BYTE4_1538 = .data:0x804ACD28; // type:object size:0x28
LBL_STRUCT_BYTE4_1539 = .data:0x804ACD50; // type:object size:0x20
jumptable_804ACD70 = .data:0x804ACD70; // type:object size:0x24 scope:local
LBL_STRUCT_BYTE4_1540 = .data:0x804ACD94; // type:object size:0x24
LBL_STRUCT_269 = .data:0x804ACDB8; // type:object size:0x20 data:string
LBL_STRUCT_270 = .data:0x804ACDD8; // type:object size:0x20 data:string
LBL_STRUCT_271 = .data:0x804ACDF8; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1541 = .data:0x804ACE18; // type:object size:0x20
LBL_STRUCT_BYTE4_1542 = .data:0x804ACE38; // type:object size:0x28
jumptable_804ACE60 = .data:0x804ACE60; // type:object size:0x24 scope:local
LBL_STRUCT_BYTE4_1543 = .data:0x804ACE84; // type:object size:0x24
jumptable_804ACEA8 = .data:0x804ACEA8; // type:object size:0x24 scope:local
LBL_STRUCT_BYTE4_1544 = .data:0x804ACECC; // type:object size:0x24
jumptable_804ACEF0 = .data:0x804ACEF0; // type:object size:0x24 scope:local
LBL_STRUCT_BYTE4_1545 = .data:0x804ACF14; // type:object size:0x24
LBL_STRUCT_BYTE4_1546 = .data:0x804ACF38; // type:object size:0x20
LBL_STRUCT_272 = .data:0x804ACF58; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1547 = .data:0x804ACF78; // type:object size:0x20
LBL_STRUCT_BYTE4_1548 = .data:0x804ACF98; // type:object size:0x28
LBL_STRUCT_BYTE4_1549 = .data:0x804ACFC0; // type:object size:0x28
LBL_STRUCT_273 = .data:0x804ACFE8; // type:object size:0x1C data:string
LBL_STRUCT_BYTE4_1550 = .data:0x804AD004; // type:object size:0x20
LBL_STRUCT_BYTE4_1551 = .data:0x804AD024; // type:object size:0x24
LBL_STRUCT_BYTE4_1552 = .data:0x804AD048; // type:object size:0x20
LBL_STRUCT_BYTE4_1553 = .data:0x804AD068; // type:object size:0x20
LBL_STRUCT_BYTE4_1554 = .data:0x804AD088; // type:object size:0x20
LBL_STRUCT_274 = .data:0x804AD0A8; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1555 = .data:0x804AD0C8; // type:object size:0x20
LBL_STRUCT_BYTE4_1556 = .data:0x804AD0E8; // type:object size:0x28
LBL_STRUCT_BYTE4_1557 = .data:0x804AD110; // type:object size:0x20
LBL_STRUCT_BYTE4_1558 = .data:0x804AD130; // type:object size:0x28
LBL_STRUCT_275 = .data:0x804AD158; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1559 = .data:0x804AD178; // type:object size:0x1C
LBL_STRUCT_BYTE4_1560 = .data:0x804AD194; // type:object size:0x1C
LBL_STRUCT_BYTE4_1561 = .data:0x804AD1B0; // type:object size:0xC
LBL_STRUCT_BYTE4_1562 = .data:0x804AD1BC; // type:object size:0x10
LBL_STRUCT_BYTE4_1563 = .data:0x804AD1CC; // type:object size:0x24
LBL_STRUCT_BYTE4_1564 = .data:0x804AD1F0; // type:object size:0x28
LBL_STRUCT_276 = .data:0x804AD218; // type:object size:0x10 data:string
LBL_STRUCT_BYTE4_1565 = .data:0x804AD228; // type:object size:0x10
LBL_STRUCT_BYTE4_1566 = .data:0x804AD238; // type:object size:0xC
LBL_STRUCT_BYTE4_1567 = .data:0x804AD244; // type:object size:0x14
LBL_STRUCT_BYTE4_1568 = .data:0x804AD258; // type:object size:0x18
LBL_STRUCT_BYTE4_1569 = .data:0x804AD270; // type:object size:0x10
LBL_STRUCT_BYTE4_1570 = .data:0x804AD280; // type:object size:0x28
LBL_STRUCT_BYTE4_1571 = .data:0x804AD2A8; // type:object size:0x20
LBL_STRUCT_BYTE4_1572 = .data:0x804AD2C8; // type:object size:0x24
LBL_STRUCT_BYTE4_1573 = .data:0x804AD2EC; // type:object size:0xC
LBL_STRUCT_BYTE4_1574 = .data:0x804AD2F8; // type:object size:0x20
LBL_STRUCT_BYTE4_1575 = .data:0x804AD318; // type:object size:0x14
jumptable_804AD32C = .data:0x804AD32C; // type:object size:0x2C scope:local
LBL_STRUCT_BYTE4_1576 = .data:0x804AD640; // type:object size:0x14
LBL_STRUCT_BYTE4_1577 = .data:0x804AD654; // type:object size:0x1C
LBL_STRUCT_277 = .data:0x804AD670; // type:object size:0x18 data:string
LBL_STRUCT_BYTE4_1578 = .data:0x804AD688; // type:object size:0x10
LBL_STRUCT_BYTE4_1579 = .data:0x804AD698; // type:object size:0x20
LBL_STRUCT_278 = .data:0x804AD6B8; // type:object size:0x10 data:string
LBL_STRUCT_BYTE4_1580 = .data:0x804AD6C8; // type:object size:0x20
LBL_STRUCT_BYTE4_1581 = .data:0x804AD6E8; // type:object size:0x20
LBL_STRUCT_BYTE4_1582 = .data:0x804AD708; // type:object size:0x20
LBL_STRUCT_BYTE4_1583 = .data:0x804AD728; // type:object size:0x20
LBL_STRUCT_BYTE4_1584 = .data:0x804AD748; // type:object size:0x20
LBL_STRUCT_BYTE4_1585 = .data:0x804AD768; // type:object size:0x20
LBL_STRUCT_BYTE4_1586 = .data:0x804AD788; // type:object size:0x20
LBL_STRUCT_BYTE4_1587 = .data:0x804AD7A8; // type:object size:0x68
LBL_STRUCT_BYTE4_1588 = .data:0x804AD810; // type:object size:0x78
LBL_STRUCT_279 = .data:0x804AD888; // type:object size:0x1C data:string
LBL_STRUCT_BYTE4_1589 = .data:0x804AD8A4; // type:object size:0x2C
LBL_STRUCT_BYTE4_1590 = .data:0x804AD8D0; // type:object size:0x20
LBL_STRUCT_BYTE4_1591 = .data:0x804AD8F0; // type:object size:0x18
LBL_STRUCT_BYTE4_1592 = .data:0x804AD908; // type:object size:0x20
LBL_STRUCT_BYTE4_1593 = .data:0x804AD928; // type:object size:0x24
LBL_STRUCT_BYTE4_1594 = .data:0x804AD94C; // type:object size:0x10
LBL_STRUCT_BYTE4_1595 = .data:0x804AD95C; // type:object size:0x6C
LBL_STRUCT_BYTE4_1596 = .data:0x804AD9C8; // type:object size:0x48
LBL_STRUCT_BYTE4_1597 = .data:0x804ADA10; // type:object size:0x5C
LBL_STRUCT_BYTE4_1598 = .data:0x804ADA6C; // type:object size:0x10
LBL_STRUCT_BYTE4_1599 = .data:0x804ADA7C; // type:object size:0x14
LBL_STRUCT_BYTE4_1600 = .data:0x804ADA90; // type:object size:0x14
LBL_STRUCT_BYTE4_1601 = .data:0x804ADAA4; // type:object size:0x44
LBL_STRUCT_BYTE4_1602 = .data:0x804ADAE8; // type:object size:0xC
LBL_STRUCT_BYTE4_1603 = .data:0x804ADAF4; // type:object size:0x28
LBL_STRUCT_BYTE4_1604 = .data:0x804ADB1C; // type:object size:0x1C
LBL_STRUCT_BYTE4_1605 = .data:0x804ADB38; // type:object size:0x28
LBL_STRUCT_280 = .data:0x804ADB60; // type:object size:0xC data:string
LBL_STRUCT_281 = .data:0x804ADB6C; // type:object size:0xC data:string
LBL_STRUCT_BYTE4_1606 = .data:0x804ADB78; // type:object size:0x10
LBL_STRUCT_BYTE4_1607 = .data:0x804ADB88; // type:object size:0x10
LBL_STRUCT_BYTE4_1608 = .data:0x804ADB98; // type:object size:0x14
LBL_STRUCT_BYTE4_1609 = .data:0x804ADBAC; // type:object size:0x14
LBL_STRUCT_BYTE4_1610 = .data:0x804ADBC0; // type:object size:0x18 data:4byte
LBL_STRUCT_BYTE4_1611 = .data:0x804ADBD8; // type:object size:0xC data:4byte
LBL_STRUCT_BYTE4_1612 = .data:0x804ADBE4; // type:object size:0x10
LBL_STRUCT_BYTE4_1613 = .data:0x804ADBF4; // type:object size:0x14
LBL_STRUCT_BYTE4_1614 = .data:0x804ADC08; // type:object size:0x3A0
LBL_STRUCT_BYTE4_1615 = .data:0x804ADFA8; // type:object size:0x10 data:4byte
LBL_STRUCT_BYTE4_1616 = .data:0x804ADFB8; // type:object size:0xC
jumptable_804ADFC4 = .data:0x804ADFC4; // type:object size:0x20 scope:local
LBL_STRUCT_BYTE4_1617 = .data:0x804ADFE8; // type:object size:0x34
LBL_STRUCT_BYTE4_1618 = .data:0x804AE01C; // type:object size:0xC
LBL_STRUCT_BYTE4_1619 = .data:0x804AE028; // type:object size:0x78
LBL_STRUCT_BYTE4_1620 = .data:0x804AE0A0; // type:object size:0x28
jumptable_804AE0C8 = .data:0x804AE0C8; // type:object size:0x1C scope:local
LBL_STRUCT_BYTE4_1621 = .data:0x804AE0E8; // type:object size:0x78
LBL_STRUCT_BYTE4_1622 = .data:0x804AE160; // type:object size:0x24
LBL_STRUCT_BYTE4_1623 = .data:0x804AE184; // type:object size:0x34
LBL_STRUCT_BYTE4_1624 = .data:0x804AE1B8; // type:object size:0x10
LBL_STRUCT_BYTE4_1625 = .data:0x804AE1C8; // type:object size:0xE8
LBL_STRUCT_BYTE4_1626 = .data:0x804AE2B0; // type:object size:0x18
LBL_STRUCT_BYTE4_1627 = .data:0x804AE2C8; // type:object size:0x28
LBL_STRUCT_BYTE4_1628 = .data:0x804AE2F0; // type:object size:0x9C
jumptable_804AE38C = .data:0x804AE38C; // type:object size:0x20 scope:local
LBL_STRUCT_BYTE4_1629 = .data:0x804AE3B0; // type:object size:0x10
LBL_STRUCT_BYTE4_1630 = .data:0x804AE3C0; // type:object size:0x28
jumptable_804AE3E8 = .data:0x804AE3E8; // type:object size:0x20 scope:local
jumptable_804AE408 = .data:0x804AE408; // type:object size:0x20 scope:local
LBL_STRUCT_BYTE4_1631 = .data:0x804AE428; // type:object size:0x1060
LBL_STRUCT_BYTE4_1632 = .data:0x804AF488; // type:object size:0x68
LBL_STRUCT_BYTE4_1633 = .data:0x804AF4F0; // type:object size:0x2C
LBL_STRUCT_BYTE4_1634 = .data:0x804AF51C; // type:object size:0xC4
jumptable_804AF5E0 = .data:0x804AF5E0; // type:object size:0x2C scope:local
LBL_STRUCT_BYTE4_1635 = .data:0x804AF610; // type:object size:0x20
LBL_STRUCT_BYTE4_1636 = .data:0x804AF630; // type:object size:0x10
LBL_STRUCT_BYTE4_1637 = .data:0x804AF640; // type:object size:0x28
LBL_STRUCT_BYTE4_1638 = .data:0x804AF668; // type:object size:0x28
LBL_STRUCT_BYTE4_1639 = .data:0x804AF690; // type:object size:0x2C
LBL_STRUCT_BYTE4_1640 = .data:0x804AF6BC; // type:object size:0x74
LBL_STRUCT_BYTE4_1641 = .data:0x804AF730; // type:object size:0x10 data:4byte
LBL_STRUCT_BYTE4_1642 = .data:0x804AF740; // type:object size:0x18
LBL_STRUCT_BYTE4_1643 = .data:0x804AF758; // type:object size:0x48
LBL_STRUCT_BYTE4_1644 = .data:0x804AF7A0; // type:object size:0x10 data:4byte
jumptable_804AF7B0 = .data:0x804AF7B0; // type:object size:0x1C scope:local
LBL_STRUCT_BYTE4_1645 = .data:0x804AF7D0; // type:object size:0x24
LBL_STRUCT_BYTE4_1646 = .data:0x804AF7F4; // type:object size:0x14
LBL_STRUCT_BYTE4_1647 = .data:0x804AF808; // type:object size:0x10
LBL_STRUCT_BYTE4_1648 = .data:0x804AF818; // type:object size:0x720
LBL_STRUCT_BYTE4_1649 = .data:0x804AFF38; // type:object size:0x68
LBL_STRUCT_BYTE4_1650 = .data:0x804AFFA0; // type:object size:0x20
LBL_STRUCT_BYTE4_1651 = .data:0x804AFFC0; // type:object size:0x10
LBL_STRUCT_BYTE4_1652 = .data:0x804AFFD0; // type:object size:0x740
LBL_STRUCT_BYTE4_1653 = .data:0x804B0710; // type:object size:0x68
LBL_STRUCT_BYTE4_1654 = .data:0x804B0778; // type:object size:0x20
LBL_STRUCT_BYTE4_1655 = .data:0x804B0798; // type:object size:0x10
LBL_STRUCT_BYTE4_1656 = .data:0x804B07A8; // type:object size:0xC
LBL_STRUCT_BYTE4_1657 = .data:0x804B07B4; // type:object size:0x10
LBL_STRUCT_282 = .data:0x804B07C4; // type:object size:0xC data:string
LBL_STRUCT_283 = .data:0x804B07D0; // type:object size:0x10 data:string
LBL_STRUCT_BYTE4_1658 = .data:0x804B07E0; // type:object size:0x10
LBL_STRUCT_BYTE_12 = .data:0x804B07F0; // type:object size:0x1C data:byte
LBL_STRUCT_BYTE4_1659 = .data:0x804B080C; // type:object size:0x10
LBL_STRUCT_BYTE4_1660 = .data:0x804B081C; // type:object size:0x14
LBL_STRUCT_BYTE4_1661 = .data:0x804B0830; // type:object size:0xC0
LBL_STRUCT_BYTE4_1662 = .data:0x804B08F0; // type:object size:0x118
LBL_STRUCT_BYTE4_1663 = .data:0x804B0A08; // type:object size:0x28
LBL_STRUCT_BYTE4_1664 = .data:0x804B0A30; // type:object size:0x24
LBL_STRUCT_BYTE4_1665 = .data:0x804B0A54; // type:object size:0x34
LBL_STRUCT_BYTE4_1666 = .data:0x804B0A88; // type:object size:0xC
LBL_STRUCT_284 = .data:0x804B0A94; // type:object size:0x20 data:string
LBL_STRUCT_BYTE4_1667 = .data:0x804B0AB4; // type:object size:0x94
LBL_STRUCT_BYTE4_1668 = .data:0x804B0B48; // type:object size:0x10
LBL_STRUCT_BYTE4_1669 = .data:0x804B0B58; // type:object size:0xC0
jumptable_804B0C18 = .data:0x804B0C18; // type:object size:0x70 scope:local
LBL_STRUCT_BYTE4_1670 = .data:0x804B0C88; // type:object size:0x90
LBL_STRUCT_BYTE4_1671 = .data:0x804B0D18; // type:object size:0x18
jumptable_804B0D30 = .data:0x804B0D30; // type:object size:0x1C scope:local
